时间,商品名称,库存变化,单笔销量
2026-06-28 13:46:26,musicndrama,初始库存: 4994,0.0
2026-06-28 13:50:26,musicndrama,4994 -> 4987,7.0
2026-06-28 14:33:47,musicndrama,4987 -> 4972,15.0
2026-06-28 14:55:10,musicndrama,4972 -> 4987,-15.0
2026-06-29 01:41:26,musicndrama,4987 -> 4950,37.0
2026-06-29 02:20:39,musicndrama,4950 -> 4947,3.0
2026-06-29 02:40:04,musicndrama,4947 -> 4950,-3.0
2026-06-29 07:36:57,musicndrama,4950 -> 4925,25.0
2026-06-29 09:36:34,musicndrama,4925 -> 4905,20.0
2026-06-29 09:37:57,musicndrama,4905 -> 4885,20.0
2026-06-29 13:50:04,musicndrama,4885 -> 4830,55.0
2026-06-29 20:10:24,musicndrama,4830 -> 4829,1.0
2026-06-29 20:12:13,musicndrama,4829 -> 4828,1.0
2026-06-29 20:30:13,musicndrama,4828 -> 4829,-1.0
2026-06-29 21:03:27,musicndrama,4829 -> 4789,40.0
2026-06-30 00:49:41,musicndrama,4789 -> 4768,21.0
2026-06-30 01:26:44,musicndrama,4768 -> 4747,21.0
2026-06-30 09:46:55,musicndrama,4747 -> 4745,2.0
2026-06-30 10:05:08,musicndrama,4745 -> 4747,-2.0
2026-06-30 10:19:42,musicndrama,4747 -> 4726,21.0
2026-06-30 17:31:34,musicndrama,4726 -> 4674，52,
2026-06-30 17:32:10,musicndrama,4674 -> 4634,40.0
2026-06-30 17:38:25,musicndrama,4634 -> 4618,16.0
2026-06-30 17:44:06,musicndrama,4618 -> 4598,20.0
2026-06-30 17:58:38,musicndrama,4598 -> 4638,-40.0
2026-06-30 18:17:46,musicndrama,4638 -> 4593,45.0
2026-06-30 18:18:12,musicndrama,4593 -> 4549,44.0
2026-06-30 18:22:37,musicndrama,4549 -> 4546,3.0
2026-06-30 18:22:52,musicndrama,4546 -> 4506,40.0
2026-06-30 18:24:49,musicndrama,4506 -> 4503,3.0
2026-06-30 18:36:52,musicndrama,4503 -> 4458,45.0
2026-06-30 18:38:39,musicndrama,4458 -> 4422,36.0
2026-06-30 18:40:02,musicndrama,4422 -> 4428,-6.0
2026-06-30 18:55:05,musicndrama,4428 -> 4473,-45.0
2026-06-30 19:05:41,musicndrama,4473 -> 4437,36.0
2026-06-30 19:28:33,musicndrama,4437 -> 4392,45.0
2026-06-30 19:32:20,musicndrama,4392 -> 4389,3.0
2026-06-30 19:35:07,musicndrama,4389 -> 4360,29.0
2026-06-30 20:02:33,musicndrama,4360 -> 4315,45.0
2026-06-30 20:15:15,musicndrama,4315 -> 4297,18.0
2026-06-30 20:27:25,musicndrama,4297 -> 4257,40.0
2026-06-30 20:27:51,musicndrama,4257 -> 4219,38.0
2026-06-30 20:37:39,musicndrama,4219 -> 4184,35.0
2026-06-30 20:43:06,musicndrama,4184 -> 4179,5.0
2026-06-30 20:45:04,musicndrama,4179 -> 4156,23.0
2026-06-30 20:54:22,musicndrama,4156 -> 4113,43.0
2026-06-30 20:57:37,musicndrama,4113 -> 4136,-23.0
